Vehicle Count,Average Speed
30,55.34852747
11,68.2078766
10,31.39104139
28,11.18447295
29,28.63043875
3,77.00510727
1,60.14104649
20,38.14373901
36,29.87706255
42,34.39311491
36,30.0025287
45,47.20997877
49,58.74075353
42,72.95496737
8,43.68780353
24,34.69652936
15,70.67539177
38,79.34083527
0,34.39334145
45,63.61523624
8,35.93676475
8,23.99779396
30,23.55334583
13,25.24357958
47,77.51231444
43,62.40852587
50,45.23030219
20,75.77551112
12,71.83335502
16,75.73266396
22,19.99461467
11,11.77438948
22,25.97401472
49,57.06489308
25,45.62778353
13,39.75631808
13,60.44106641
8,34.86810596
14,21.45110772
38,72.29790031
49,50.72363321
47,51.95891766
35,41.20858494
10,57.27017575
24,10.71095094
0,63.74093123
28,39.30962207
5,18.7485264
23,24.92827662
27,62.41045986
32,16.10381469
38,68.19868087
44,47.03515122
43,22.62896829
30,27.01170171
16,77.81066459
45,12.32209828
2,47.49753787
44,60.45947707
30,58.55846764
7,73.87534167
41,25.70734756
0,34.60253331
20,52.76868249
34,73.43503489
4,32.11095411
25,41.18193462
3,35.6911902
45,46.80756655
32,11.5949261
4,17.01443505
24,35.41748254
43,10.93945129
16,33.25654219
5,35.33277862
42,70.43650565
44,11.51488706
11,37.4253313
24,25.64128398
4,66.79566824
47,42.52069035
23,70.16608275
13,75.93393683
18,11.08960654
30,39.34878942
31,78.57046263
12,43.70827402
9,26.52028962
43,29.16789222
23,23.21079775
42,63.74359503
31,21.77523014
28,34.33646084
0,43.25437951
19,45.03972673
22,50.91506741
11,25.14762137
48,59.90362782
12,62.35672195
10,57.32470936
